alias,canonical_id,alias_type,confidence,source
다시마추출물,laminaria_japonica_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
다이메티콘/비닐다이메티콘크로스폴리머,dimethicone_vinyl_dimethicone_crosspolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
다이메티콘/피이지-10/15크로스폴리머,dimethicone_peg_10_15_crosspolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
다이메티콘올,dimethiconol,ko,high,KCIA 표준화명칭목록 2026-06-30
다이메티콘크로스폴리머,dimethicone_crosspolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
다이메틸아이소소바이드,dimethyl_isosorbide,ko,high,KCIA 표준화명칭목록 2026-06-30
다이부틸아디페이트,dibutyl_adipate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이소듐스테아로일글루타메이트,disodium_stearoyl_glutamate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이소듐이디티에이,disodium_edta,ko,high,KCIA 표준화명칭목록 2026-06-30
다이소듐포스페이트,disodium_phosphate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이스테아다이모늄헥토라이트,disteardimonium_hectorite,ko,high,KCIA 표준화명칭목록 2026-06-30
다이아몬드가루,diamond_powder,ko,high,KCIA 표준화명칭목록 2026-06-30
다이아이소스테아릴말레이트,diisostearyl_malate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이아이소프로필세바케이트,diisopropyl_sebacate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이에틸헥실시링질리덴말로네이트,diethylhexyl_syringylidenemalonate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이카프릴릴에터,dicaprylyl_ether,ko,high,KCIA 표준화명칭목록 2026-06-30
다이카프릴릴카보네이트,dicaprylyl_carbonate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이칼슘포스페이트,dicalcium_phosphate,ko,high,KCIA 표준화명칭목록 2026-06-30
다이페닐실록시페닐트라이메티콘,diphenylsiloxy_phenyl_trimethicone,ko,high,KCIA 표준화명칭목록 2026-06-30
다이프로필렌글라이콜,dipropylene_glycol,ko,high,KCIA 표준화명칭목록 2026-06-30
달맞이꽃오일,oenothera_biennis_evening_primrose_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
당근추출물,daucus_carota_sativa_carrot_root_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
당느릅나무뿌리추출물,ulmus_davidiana_root_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
데실글루코사이드,decyl_glucoside,ko,high,KCIA 표준화명칭목록 2026-06-30
데하이드로아세틱애씨드,dehydroacetic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
덱스트란,dextran,ko,high,KCIA 표준화명칭목록 2026-06-30
덱스트린,dextrin,ko,high,KCIA 표준화명칭목록 2026-06-30
돌콩오일,glycine_soja_soybean_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
동백나무씨오일,camellia_japonica_seed_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
동백오일,camellia_japonica_seed_oil,synonym,high,KCIA 표준화명칭목록 2026-06-30
드럼스틱나무씨오일,moringa_oleifera_seed_oil,synonym,high,KCIA 표준화명칭목록 2026-06-30
드럼스틱씨오일,moringa_oleifera_seed_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
디메치콘/메치콘코폴리머,hydrogen_dimethicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
디메치콘/비닐디메치콘크로스폴리머,dimethicone_vinyl_dimethicone_crosspolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
디메치콘/피이지-10/15크로스폴리머,dimethicone_peg_10_15_crosspolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
디메치콘올,dimethiconol,synonym,high,KCIA 표준화명칭목록 2026-06-30
디메치콘크로스폴리머,dimethicone_crosspolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
디메칠이소소바이드,dimethyl_isosorbide,synonym,high,KCIA 표준화명칭목록 2026-06-30
디부틸아디페이트,dibutyl_adipate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디소듐스테아로일글루타메이트,disodium_stearoyl_glutamate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디소듐이디티에이,disodium_edta,synonym,high,KCIA 표준화명칭목록 2026-06-30
디소듐포스페이트,disodium_phosphate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디스테아디모늄헥토라이트,disteardimonium_hectorite,synonym,high,KCIA 표준화명칭목록 2026-06-30
디에칠아미노하이드록시벤조일헥실벤조에이트,diethylamino_hydroxybenzoyl_hexyl_benzoate,ko,high,KCIA 표준화명칭목록 2026-06-30
디에칠헥실시린질리덴말로네이트,diethylhexyl_syringylidenemalonate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디이소스테아릴말레이트,diisostearyl_malate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디이소프로필세바케이트,diisopropyl_sebacate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디카프릴릴에텔,dicaprylyl_ether,synonym,high,KCIA 표준화명칭목록 2026-06-30
디카프릴릴카보네이트,dicaprylyl_carbonate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디칼슘포스페이트,dicalcium_phosphate,synonym,high,KCIA 표준화명칭목록 2026-06-30
디페닐실록시페닐트리메치콘,diphenylsiloxy_phenyl_trimethicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
디프로필렌글라이콜,dipropylene_glycol,synonym,high,KCIA 표준화명칭목록 2026-06-30
라벤더오일,lavandula_angustifolia_lavender_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
라우레스-4,laureth_4,ko,high,KCIA 표준화명칭목록 2026-06-30
라우레스-7,laureth_7,ko,high,KCIA 표준화명칭목록 2026-06-30
라우로일라이신,lauroyl_lysine,ko,high,KCIA 표준화명칭목록 2026-06-30
라우릴글루코사이드,lauryl_glucoside,ko,high,KCIA 표준화명칭목록 2026-06-30
라우릴피이 지-9폴라다이메틸실록시에틸다이메티콘,lauryl_peg_9_polydimethylsiloxyethyl_dimethicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
라우릴피이지-9폴리다이메틸실록시에틸다이메티콘,lauryl_peg_9_polydimethylsiloxyethyl_dimethicone,ko,high,KCIA 표준화명칭목록 2026-06-30
라우릴피이지-9폴리디메칠실록시에칠디메치콘,lauryl_peg_9_polydimethylsiloxyethyl_dimethicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
라이신,lysine,ko,high,KCIA 표준화명칭목록 2026-06-30
락토바실러스발효물,lactobacillus_ferment,ko,high,KCIA 표준화명칭목록 2026-06-30
레몬껍질오일,citrus_limon_lemon_peel_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
레몬추출물,citrus_limon_lemon_fruit_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
레시틴,lecithin,ko,high,KCIA 표준화명칭목록 2026-06-30
레티닐팔미테이트,retinyl_palmitate,ko,high,KCIA 표준화명칭목록 2026-06-30
로즈마리잎오일,rosmarinus_officinalis_rosemary_leaf_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
로즈마리잎추출물,rosmarinus_officinalis_rosemary_leaf_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
로즈힙열매오일,rosa_canina_fruit_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
류신,leucine,ko,high,KCIA 표준화명칭목록 2026-06-30
류코노스톡/무발효여과물,leuconostoc_radish_root_ferment_filtrate,ko,high,KCIA 표준화명칭목록 2026-06-30
리날룰,linalool,ko,high,KCIA 표준화명칭목록 2026-06-30
리날릴아세테이트,linalyl_acetate,ko,high,KCIA 표준화명칭목록 2026-06-30
리모넨,limonene,ko,high,KCIA 표준화명칭목록 2026-06-30
마그네슘미리스테이트,magnesium_myristate,ko,high,KCIA 표준화명칭목록 2026-06-30
마그네슘설페이트,magnesium_sulfate,ko,high,KCIA 표준화명칭목록 2026-06-30
마그네슘스테아레이트,magnesium_stearate,ko,high,KCIA 표준화명칭목록 2026-06-30
마그네슘아스코빌포스페이트,magnesium_ascorbyl_phosphate,ko,high,KCIA 표준화명칭목록 2026-06-30
마그네슘알루미늄실리케이트,magnesium_aluminum_silicate,ko,high,KCIA 표준화명칭목록 2026-06-30
마그네슘클로라이드,magnesium_chloride,ko,high,KCIA 표준화명칭목록 2026-06-30
마데카식애씨드,madecassic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
마룰라씨오일,sclerocarya_birrea_seed_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
마이카,mica,ko,high,KCIA 표준화명칭목록 2026-06-30
마이크로크리스탈린셀룰로오스,microcrystalline_cellulose,ko,high,KCIA 표준화명칭목록 2026-06-30
마이크로크리스탈린왁스,microcrystalline_wax,ko,high,KCIA 표준화명칭목록 2026-06-30
마치현추출물,portulaca_oleracea_extract,synonym,high,KCIA 표준화명칭목록 2026-06-30
마트리카리아꽃추출물,chamomilla_recutita_matricaria_flower_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
만니톨,mannitol,ko,high,KCIA 표준화명칭목록 2026-06-30
말토덱스트린,maltodextrin,ko,high,KCIA 표준화명칭목록 2026-06-30
망고씨드버터,mangifera_indica_mango_seed_butter,synonym,high,KCIA 표준화명칭목록 2026-06-30
망고씨버터,mangifera_indica_mango_seed_butter,ko,high,KCIA 표준화명칭목록 2026-06-30
메도우폼씨오일,limnanthes_alba_meadowfoam_seed_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
메치오닌,methionine,synonym,high,KCIA 표준화명칭목록 2026-06-30
메치콘,methicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
메칠메타크릴레이트크로스폴리머,methyl_methacrylate_crosspolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
메칠이소치아졸리논,methylisothiazolinone,ko,high,KCIA 표준화명칭목록 2026-06-30
메칠클로로이소치아졸리논,methylchloroisothiazolinone,ko,high,KCIA 표준화명칭목록 2026-06-30
메칠트리메치콘,methyl_trimethicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
메칠파라벤,methylparaben,synonym,high,KCIA 표준화명칭목록 2026-06-30
메칠프로판디올,methylpropanediol,synonym,high,KCIA 표준화명칭목록 2026-06-30
메티오닌,methionine,ko,high,KCIA 표준화명칭목록 2026-06-30
메티콘,methicone,ko,high,KCIA 표준화명칭목록 2026-06-30
메틸메타크릴레이트크로스폴리머,methyl_methacrylate_crosspolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
메틸트라이메티콘,methyl_trimethicone,ko,high,KCIA 표준화명칭목록 2026-06-30
메틸파라벤,methylparaben,ko,high,KCIA 표준화명칭목록 2026-06-30
메틸프로판다이올,methylpropanediol,ko,high,KCIA 표준화명칭목록 2026-06-30
멘톨,menthol,ko,high,KCIA 표준화명칭목록 2026-06-30
무수자일리톨,anhydroxylitol,synonym,high,KCIA 표준화명칭목록 2026-06-30
바닐린,vanillin,ko,high,KCIA 표준화명칭목록 2026-06-30
바륨설페이트,barium_sulfate,ko,high,KCIA 표준화명칭목록 2026-06-30
바이오사카라이드검-1,biosaccharide_gum_1,ko,high,KCIA 표준화명칭목록 2026-06-30
바이오틴,biotin,ko,high,KCIA 표준화명칭목록 2026-06-30
바쿠치올,bakuchiol,ko,high,KCIA 표준화명칭목록 2026-06-30
발린,valine,ko,high,KCIA 표준화명칭목록 2026-06-30
베르가모트열매오일,citrus_aurantium_bergamia_bergamot_fruit_oil,synonym,high,KCIA 표준화명칭목록 2026-06-30
베르가모트오일,citrus_aurantium_bergamia_bergamot_fruit_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
베타인,betaine,ko,high,KCIA 표준화명칭목록 2026-06-30
베헤닐알코올,behenyl_alcohol,ko,high,KCIA 표준화명칭목록 2026-06-30
베헨트라이모늄메토설페이트,behentrimonium_methosulfate,ko,high,KCIA 표준화명칭목록 2026-06-30
베헨트라이모늄클로라이드,behentrimonium_chloride,ko,high,KCIA 표준화명칭목록 2026-06-30
베헨트리모늄메토설페이트,behentrimonium_methosulfate,synonym,high,KCIA 표준화명칭목록 2026-06-30
베헨트리모늄클로라이드,behentrimonium_chloride,synonym,high,KCIA 표준화명칭목록 2026-06-30
벤조익애씨드,benzoic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
벤조페논-4,benzophenone_4,ko,high,KCIA 표준화명칭목록 2026-06-30
벤질벤조에이트,benzyl_benzoate,ko,high,KCIA 표준화명칭목록 2026-06-30
벤질살리실레이트,benzyl_salicylate,ko,high,KCIA 표준화명칭목록 2026-06-30
벤질알코올,benzyl_alcohol,ko,high,KCIA 표준화명칭목록 2026-06-30
변성알코올,alcohol_denat,ko,high,KCIA 표준화명칭목록 2026-06-30
보론나이트라이드,boron_nitride,ko,high,KCIA 표준화명칭목록 2026-06-30
부틸렌/에칠렌/스타이렌코폴리머,butylene_ethylene_styrene_copolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
부틸렌/에틸렌/스타이렌코폴리머,butylene_ethylene_styrene_copolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
부틸렌글라이콜,butylene_glycol,ko,high,KCIA 표준화명칭목록 2026-06-30
부틸렌글라이콜다이카프릴레이트/다이카프레이트,butylene_glycol_dicaprylate_dicaprate,ko,high,KCIA 표준화명칭목록 2026-06-30
부틸렌글라이콜디카프릴레이트/디카프레이트,butylene_glycol_dicaprylate_dicaprate,synonym,high,KCIA 표준화명칭목록 2026-06-30
부틸메톡시디벤조일메탄,butyl_methoxydibenzoylmethane,ko,high,KCIA 표준화명칭목록 2026-06-30
부틸옥틸살리실레이트,butyloctyl_salicylate,ko,high,KCIA 표준화명칭목록 2026-06-30
부틸페닐메칠프로피오날,butylphenyl_methylpropional,synonym,high,KCIA 표준화명칭목록 2026-06-30
부틸페닐메틸프로피오날,butylphenyl_methylpropional,ko,high,KCIA 표준화명칭목록 2026-06-30
브이피/브이에이코폴리머,vp_va_copolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
브이피/에이코센코폴리머,vp_eicosene_copolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
브이피/에이코신코폴리머,vp_eicosene_copolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
브이피/헥사데센코폴리머,vp_hexadecene_copolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
비닐다이메티콘/메티콘실세스퀴옥세인크로스폴리머,vinyl_dimethicone_methicone_silsesquioxane_crosspolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
비닐디메치콘/메치콘실세스퀴옥산크로스폴리머,vinyl_dimethicone_methicone_silsesquioxane_crosspolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
비르씨오일,sclerocarya_birrea_seed_oil,synonym,high,KCIA 표준화명칭목록 2026-06-30
비스-다이글리세릴폴리아실아디페이트-2,bis_diglyceryl_polyacyladipate_2,ko,high,KCIA 표준화명칭목록 2026-06-30
비스-디글리세릴폴리아실아디페이트-2,bis_diglyceryl_polyacyladipate_2,synonym,high,KCIA 표준화명칭목록 2026-06-30
비스-에칠헥실옥시페놀메톡시페닐트리아진,bis_ethylhexyloxyphenol_methoxyphenyl_triazine,ko,high,KCIA 표준화명칭목록 2026-06-30
비에이치티,bht,ko,high,KCIA 표준화명칭목록 2026-06-30
사이클로펜타실록산,cyclopentasiloxane,synonym,high,KCIA 표준화명칭목록 2026-06-30
사이클로펜타실록세인,cyclopentasiloxane,ko,high,KCIA 표준화명칭목록 2026-06-30
사이클로헥사실록산,cyclohexasiloxane,synonym,high,KCIA 표준화명칭목록 2026-06-30
사이클로헥사실록세인,cyclohexasiloxane,ko,high,KCIA 표준화명칭목록 2026-06-30
사카라이드아이소머레이트,saccharide_isomerate,ko,high,KCIA 표준화명칭목록 2026-06-30
살구씨오일,prunus_armeniaca_apricot_kernel_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
생강추출물,zingiber_officinale_ginger_root_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
세라마이크로크리스탈리나,microcrystalline_wax,synonym,high,KCIA 표준화명칭목록 2026-06-30
세린,serine,ko,high,KCIA 표준화명칭목록 2026-06-30
세테아릴글루코사이드,cetearyl_glucoside,ko,high,KCIA 표준화명칭목록 2026-06-30
세테아릴알코올,cetearyl_alcohol,ko,high,KCIA 표준화명칭목록 2026-06-30
세테아릴올리베이트,cetearyl_olivate,ko,high,KCIA 표준화명칭목록 2026-06-30
세트리모늄클로라이드,cetrimonium_chloride,ko,high,KCIA 표준화명칭목록 2026-06-30
세틸알코올,cetyl_alcohol,ko,high,KCIA 표준화명칭목록 2026-06-30
세틸에스터,cetyl_esters,ko,high,KCIA 표준화명칭목록 2026-06-30
세틸에칠헥사노에이트,cetyl_ethylhexanoate,synonym,high,KCIA 표준화명칭목록 2026-06-30
세틸에틸헥사노에이트,cetyl_ethylhexanoate,ko,high,KCIA 표준화명칭목록 2026-06-30
세틸팔미테이트,cetyl_palmitate,ko,high,KCIA 표준화명칭목록 2026-06-30
세틸피이지/피피지-10/1다이메티콘,cetyl_peg_ppg_10_1_dimethicone,ko,high,KCIA 표준화명칭목록 2026-06-30
세틸피이지/피피지-10/1디메치콘,cetyl_peg_ppg_10_1_dimethicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
센티드제라늄꽃오일,pelargonium_graveolens_flower_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
셀룰로오스,cellulose,ko,high,KCIA 표준화명칭목록 2026-06-30
셀룰로오스검,cellulose_gum,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐C14-16올레핀설포네이트,sodium_c14_16_olefin_sulfonate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐글루코네이트,sodium_gluconate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐데하이드로아세테이트,sodium_dehydroacetate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐디엔에이,sodium_dna,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐라우레스설페이트,sodium_laureth_sulfate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐라우로일글루타메이트,sodium_lauroyl_glutamate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐라우로일락틸레이트,sodium_lauroyl_lactylate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐라우로일사코시네이트,sodium_lauroyl_sarcosinate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐락테이트,sodium_lactate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐레불리네이트,sodium_levulinate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐메칠코코일타우레이트,sodium_methyl_cocoyl_taurate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소듐메타바이설파이트,sodium_metabisulfite,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐메틸코코일타우레이트,sodium_methyl_cocoyl_taurate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐벤조에이트,sodium_benzoate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐스테아로일글루타메이트,sodium_stearoyl_glutamate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐시트레이트,sodium_citrate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐아세테이트,sodium_acetate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐아스코빌포스페이트,sodium_ascorbyl_phosphate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐아크릴레이트/소듐아크릴로일다이메틸타우레이트코폴 리머,sodium_acrylate_sodium_acryloyldimethyl_taurate_copolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐아크릴레이트/소듐아크릴로일디메칠타우레이트코폴리 머,sodium_acrylate_sodium_acryloyldimethyl_taurate_copolymer,synonym,high,KCIA 표준화명칭목록 2026-06-30
소듐코코일글루타메이트,sodium_cocoyl_glutamate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐코코일이세치오네이트,sodium_cocoyl_isethionate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소듐코코일이세티오네이트,sodium_cocoyl_isethionate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐클로라이드,sodium_chloride,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐파이테이트,sodium_phytate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐포스페이트,sodium_phosphate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐폴리아크릴레이트,sodium_polyacrylate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐폴리아크릴로일다이메틸타우레이트,sodium_polyacryloyldimethyl_taurate,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐폴리아크릴로일디메칠타우레이트,sodium_polyacryloyldimethyl_taurate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소듐피씨에이,sodium_pca,ko,high,KCIA 표준화명칭목록 2026-06-30
소듐하이드록사이드,sodium_hydroxide,ko,high,KCIA 표준화명칭목록 2026-06-30
소르비탄세스퀴올리에이트,sorbitan_sesquioleate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소르비탄세스퀴이소스테아레이트,sorbitan_sesquiisostearate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소르비탄스테아레이트,sorbitan_stearate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소르비탄올리베이트,sorbitan_olivate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소르비탄올리에이트,sorbitan_oleate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소르비탄이소스테아레이트,sorbitan_isostearate,synonym,high,KCIA 표준화명칭목록 2026-06-30
소르비톨,sorbitol,synonym,high,KCIA 표준화명칭목록 2026-06-30
소르빅애씨드,sorbic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
솔비탄세스퀴아이소스테아레이트,sorbitan_sesquiisostearate,ko,high,KCIA 표준화명칭목록 2026-06-30
솔비탄세스퀴올리에이트,sorbitan_sesquioleate,ko,high,KCIA 표준화명칭목록 2026-06-30
솔비탄스테아레이트,sorbitan_stearate,ko,high,KCIA 표준화명칭목록 2026-06-30
솔비탄아이소스테아레이트,sorbitan_isostearate,ko,high,KCIA 표준화명칭목록 2026-06-30
솔비탄올리베이트,sorbitan_olivate,ko,high,KCIA 표준화명칭목록 2026-06-30
솔비탄올리에이트,sorbitan_oleate,ko,high,KCIA 표준화명칭목록 2026-06-30
솔비톨,sorbitol,ko,high,KCIA 표준화명칭목록 2026-06-30
쇠비름추출물,portulaca_oleracea_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
수박추출물,citrullus_lanatus_watermelon_fruit_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
수크로오스,sucrose,ko,high,KCIA 표준화명칭목록 2026-06-30
쉐어버터,butyrospermum_parkii_shea_butter,synonym,high,KCIA 표준화명칭목록 2026-06-30
슈가켈프추출물,laminaria_saccharina_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
슈크로오스,sucrose,synonym,high,KCIA 표준화명칭목록 2026-06-30
스위트아몬드오일,prunus_amygdalus_dulcis_sweet_almond_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
스클레로튬검,sclerotium_gum,ko,high,KCIA 표준화명칭목록 2026-06-30
스테아라미도프로필다이메틸아민,stearamidopropyl_dimethylamine,ko,high,KCIA 표준화명칭목록 2026-06-30
스테아라미도프로필디메칠아민,stearamidopropyl_dimethylamine,synonym,high,KCIA 표준화명칭목록 2026-06-30
스테아랄코늄헥토라이트,stearalkonium_hectorite,ko,high,KCIA 표준화명칭목록 2026-06-30
스테아레스-20,steareth_20,ko,high,KCIA 표준화명칭목록 2026-06-30
스테아릴알코올,stearyl_alcohol,ko,high,KCIA 표준화명칭목록 2026-06-30
시스테인,cysteine,ko,high,KCIA 표준화명칭목록 2026-06-30
시어버터,butyrospermum_parkii_shea_butter,ko,high,KCIA 표준화명칭목록 2026-06-30
시트랄,citral,ko,high,KCIA 표준화명칭목록 2026-06-30
시트로넬올,citronellol,ko,high,KCIA 표준화명칭목록 2026-06-30
시트릭애씨드,citric_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
실리카,silica,ko,high,KCIA 표준화명칭목록 2026-06-30
실리카다이메틸실릴레이트,silica_dimethyl_silylate,ko,high,KCIA 표준화명칭목록 2026-06-30
실리카디메칠실릴레이트,silica_dimethyl_silylate,synonym,high,KCIA 표준화명칭목록 2026-06-30
실리카실릴레이트,silica_silylate,ko,high,KCIA 표준화명칭목록 2026-06-30
심황뿌리추출물,curcuma_longa_turmeric_root_extract,synonym,high,KCIA 표준화명칭목록 2026-06-30
아라비아고무,acacia_senegal_gum,synonym,high,KCIA 표준화명칭목록 2026-06-30
아라비아고무나무검,acacia_senegal_gum,ko,high,KCIA 표준화명칭목록 2026-06-30
아르간커넬오일,argania_spinosa_kernel_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
아르간트리커넬오일,argania_spinosa_kernel_oil,synonym,high,KCIA 표준화명칭목록 2026-06-30
아모다이메티콘,amodimethicone,ko,high,KCIA 표준화명칭목록 2026-06-30
아모디메치콘,amodimethicone,synonym,high,KCIA 표준화명칭목록 2026-06-30
아미노메칠프로판올,aminomethyl_propanol,synonym,high,KCIA 표준화명칭목록 2026-06-30
아미노메틸프로판올,aminomethyl_propanol,ko,high,KCIA 표준화명칭목록 2026-06-30
아밀신남알,amyl_cinnamal,ko,high,KCIA 표준화명칭목록 2026-06-30
아보카도오일,persea_gratissima_avocado_oil,ko,high,KCIA 표준화명칭목록 2026-06-30
아세틱애씨드,acetic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
아세틸글루코사민,acetyl_glucosamine,ko,high,KCIA 표준화명칭목록 2026-06-30
아스코빌글루코사이드,ascorbyl_glucoside,ko,high,KCIA 표준화명칭목록 2026-06-30
아스코빌팔미테이트,ascorbyl_palmitate,ko,high,KCIA 표준화명칭목록 2026-06-30
아스파틱애씨드,aspartic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
아시아틱애씨드,asiatic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
아이리쉬모스추출물,chondrus_crispus_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소노닐아이소노나노에이트,isononyl_isononanoate,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소도데케인,isododecane,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소류신,isoleucine,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소스테아릭애씨드,isostearic_acid,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소아밀라우레이트,auricula_vitis_labrusca_fruit_helianthus_tuberosus_tub_kcia_6682,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소프로필미리스테이트,isopropyl_myristate,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소프로필알코올,isopropyl_alcohol,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소프로필티타늄트라이아이소스테아레이트,isopropyl_titanium_triisostearate,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소프로필팔미테이트,isopropyl_palmitate,ko,high,KCIA 표준화명칭목록 2026-06-30
아이소헥사데칸,isohexadecane,ko,high,KCIA 표준화명칭목록 2026-06-30
아크릴레이트/C10-30알킬아크릴레이트크로스폴리머,acrylates_c10_30_alkyl_acrylate_crosspolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
아크릴레이트코폴리머,acrylates_copolymer,ko,high,KCIA 표준화명칭목록 2026-06-30
안하이드로자일리톨,anhydroxylitol,ko,high,KCIA 표준화명칭목록 2026-06-30
알라닌,alanine,ko,high,KCIA 표준화명칭목록 2026-06-30
알로에베라잎즙,aloe_barbadensis_leaf_juice,ko,high,KCIA 표준화명칭목록 2026-06-30
알로에베라잎즙가루,aloe_barbadensis_leaf_juice_powder,ko,high,KCIA 표준화명칭목록 2026-06-30
알로에베라잎추출물,aloe_barbadensis_leaf_extract,ko,high,KCIA 표준화명칭목록 2026-06-30
