portfolio_rank,ingredient_id,name_ko,name_en,effect_id,effect_name,product_count,selection_policy,signal_strength,signal_functions,best_evidence_tier,best_signal_score,best_relation_scope,best_applicability,best_pmid,best_title,screening_status,review_status,score_change
81,melanin,멜라닌,Melanin,effect_moisture_barrier,보습·장벽,133,human_topical_pubmed_required,medium,SKIN PROTECTING,2,90,abstract_exact,human_topical,41630393,"Facial Skin Care Instruction by Medical Professionals Using Microneedle Cream: The 8-Week Prospective, Randomized, Single-Blinded for Examiners Trial in Asians.",evidence_tier_2,candidate_unverified,none
82,isopropyl_palmitate,아이소프로필팔미테이트,Isopropyl Palmitate,effect_moisture_barrier,보습·장벽,942,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,3,78,abstract_exact,human_topical,29318715,Comparative evaluation of skin moisture after topical application of 10% and 30% lactobionic acid.,evidence_tier_3,candidate_unverified,none
83,mannose,만노오스,Mannose,effect_moisture_barrier,보습·장벽,221,human_topical_pubmed_required,high,HUMECTANT,4,65,title_exact,human_topical,36994777,Role of Mannose-binding Lectin and Association with Microbial Sensitization in a Cohort of Patients with Atopic Dermatitis.,evidence_tier_4,candidate_unverified,none
84,inositol,이노시톨,Inositol,effect_moisture_barrier,보습·장벽,487,human_topical_pubmed_required,high,HUMECTANT,4,60,abstract_exact,human_topical,17313403,Mala s 12 is a major allergen in patients with atopic eczema and has sequence similarities to the GMC oxidoreductase family.,evidence_tier_4,candidate_unverified,none
85,caprylic_capric_triglyceride,카프릴릭/카프릭트라이글리세라이드,Caprylic/Capric Triglyceride,effect_moisture_barrier,보습·장벽,13261,human_topical_pubmed_required,medium,SKIN CONDITIONING - OCCLUSIVE,4,60,abstract_exact,human_topical,27131753,Human skin penetration and local effects of topical nano zinc oxide after occlusion and barrier impairment.,evidence_tier_4,candidate_unverified,none
86,resveratrol,레스베라트롤,Resveratrol,effect_moisture_barrier,보습·장벽,556,human_topical_pubmed_required,medium,SKIN PROTECTING,3,78,abstract_exact,human_topical,32099438,"An Open-Label Single-Arm, Monocentric Study Assessing the Efficacy and Safety of Natural Pterostilbene (Pterocarpus marsupium) for Skin Brightening and Antiaging Effects.",evidence_tier_3,candidate_unverified,none
87,alpha_arbutin,알파-알부틴,Alpha-Arbutin,effect_brightening,미백·톤,205,direct_cosing_signal,high,BLEACHING,2,62,title_exact,combination_or_formulation,39555866,"The Efficacy of Topical Cosmetic Containing Alpha-Arbutin 5% and Kojic Acid 2% Compared With Triple Combination Cream for the Treatment of Melasma: A Split-Face, Evaluator-Blinded Randomized Pilot Study.",evidence_tier_2,candidate_unverified,none
88,lecithin,레시틴,Lecithin,effect_moisture_barrier,보습·장벽,5969,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,62,title_exact,combination_or_formulation,41987370,Shake-Induced Temporary Ion-Pairing Between Lecithin and Glycolic Acid for Enhanced Exfoliation in a Novel Biphasic Serum: Comparative Ex Vivo and in Vivo Randomised Studies.,evidence_tier_2,candidate_unverified,none
89,zinc_chloride,징크클로라이드,Zinc Chloride,effect_calming,진정,320,direct_cosing_signal,high,SOOTHING,2,58,abstract_exact,combination_or_formulation,28250779,"A comparison of the effect of certain inorganic salts on suppression acute skin irritation by human biometric assay: A randomized, double-blind clinical trial.",evidence_tier_2,candidate_unverified,none
90,cetyl_alcohol,세틸알코올,Cetyl Alcohol,effect_moisture_barrier,보습·장벽,5107,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,4,60,abstract_exact,human_topical,18452435,Preparation and characterization of herbal creams for improvement of skin viscoelastic properties.,evidence_tier_4,candidate_unverified,none
91,echinacea_purpurea_extract,자주천인국추출물,Echinacea Purpurea Extract,effect_moisture_barrier,보습·장벽,143,human_topical_pubmed_required,high,MOISTURISING,4,60,abstract_exact,human_topical,20384903,Skin improvement and stability of Echinacea purpurea dermatological formulations.,evidence_tier_4,candidate_unverified,none
92,honey,꿀,Honey,effect_moisture_barrier,보습·장벽,139,human_topical_pubmed_required,high,HUMECTANT,4,60,abstract_exact,human_topical,18452435,Preparation and characterization of herbal creams for improvement of skin viscoelastic properties.,evidence_tier_4,candidate_unverified,none
93,argania_spinosa_kernel_oil,아르간커넬오일,Argania Spinosa Kernel Oil,effect_moisture_barrier,보습·장벽,2310,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,62,title_exact,combination_or_formulation,41134387,"Efficacy and safety of combination cream of stimu-tex AS™ (spent grain wax, Argania Spinosa Kernel oil, Butyrospermum Parkii (shea butter) extract), and saccharide isomerate after fractional CO2 laser procedure: split-face, double blinded, randomized controlled trial.",evidence_tier_2,candidate_unverified,none
94,lactose,락토오스,Lactose,effect_moisture_barrier,보습·장벽,96,human_topical_pubmed_required,high,HUMECTANT,4,60,abstract_exact,human_topical,23548340,Association between loss-of-function mutations in the filaggrin gene and self-reported food allergy and alcohol sensitivity.,evidence_tier_4,candidate_unverified,none
95,sorbitol,솔비톨,Sorbitol,effect_moisture_barrier,보습·장벽,2180,human_topical_pubmed_required,high,HUMECTANT,4,42,title_exact,combination_or_formulation,23752031,Effect of seasonal and geographical differences on skin and effect of treatment with an osmoprotectant: Sorbitol.,evidence_tier_4,candidate_unverified,none
96,sodium_pca,소듐피씨에이,Sodium PCA,effect_moisture_barrier,보습·장벽,3194,human_topical_pubmed_required,high,HUMECTANT,4,39,abstract_exact,combination_or_formulation,26596512,A pilot study investigating the efficacy of botanical anti-inflammatory agents in an OTC eczema therapy.,evidence_tier_4,candidate_unverified,none
97,sea_salt,씨솔트,Sea Salt,effect_moisture_barrier,보습·장벽,203,human_topical_pubmed_required,high,HUMECTANT,3,54,title_exact,combination_or_formulation,15689218,"Bathing in a magnesium-rich Dead Sea salt solution improves skin barrier function, enhances skin hydration, and reduces inflammation in atopic dry skin.",evidence_tier_3,candidate_unverified,none
98,stearyl_glycyrrhetinate,스테아릴글리시레티네이트,Stearyl Glycyrrhetinate,effect_calming,진정,205,direct_cosing_signal,high,SOOTHING,3,51,abstract_exact,combination_or_formulation,32574015,Non-Steroidal Topical Therapy for Facial Seborrheic Dermatitis.,evidence_tier_3,candidate_unverified,none
99,glyceryl_stearate,글리세릴스테아레이트,Glyceryl Stearate,effect_moisture_barrier,보습·장벽,6922,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,3,51,abstract_exact,combination_or_formulation,10675696,Unexpected skin barrier influence from nonionic emulsifiers.,evidence_tier_3,candidate_unverified,none
100,bioflavonoids,바이오플라보노이드,Bioflavonoids,effect_calming,진정,143,direct_cosing_signal,high,SOOTHING,3,51,abstract_exact,combination_or_formulation,24815058,Protective effects of citrus and rosemary extracts on UV-induced damage in skin cell model and human volunteers.,evidence_tier_3,candidate_unverified,none
101,cholesterol,콜레스테롤,Cholesterol,effect_moisture_barrier,보습·장벽,981,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,4,60,abstract_exact,human_topical,38666261,Microbiome and lipidomic analysis reveal the interplay between skin bacteria and lipids in a cohort study.,evidence_tier_4,candidate_unverified,none
102,bakuchiol,바쿠치올,Bakuchiol,effect_moisture_barrier,보습·장벽,666,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,62,title_exact,combination_or_formulation,41424674,"Prospective, Randomized, Double-Blind Assessment of Supramolecular Bakuchiol and Terminalia Chebula Extract for Facial Photoaging in Chinese Sensitive Skin Population.",evidence_tier_2,candidate_unverified,none
103,zinc_pyrithione,징크피리치온,Zinc Pyrithione,effect_acne_sebum,여드름·피지,35,human_topical_pubmed_required,high,ANTI-SEBORRHEIC,2,58,abstract_exact,combination_or_formulation,19335686,Clinical efficacies of topical agents for the treatment of seborrheic dermatitis of the scalp: a comparative study.,evidence_tier_2,candidate_unverified,none
104,oligopeptide_68,올리고펩타이드-68,Oligopeptide-68,effect_brightening,미백·톤,14,direct_cosing_signal,high,BLEACHING,2,62,title_exact,combination_or_formulation,26833454,"Combined use of two formulations containing diacetyl boldine, TGF-β1 biomimetic oligopeptide-68 with other hypopigmenting/exfoliating agents and sunscreen provides effective and convenient treatment for facial melasma. Either is equal to or is better than 4% hydroquinone on normal skin.",evidence_tier_2,candidate_unverified,none
105,xyloglucan,자일로글루칸,Xyloglucan,effect_moisture_barrier,보습·장벽,11,human_topical_pubmed_required,high,HUMECTANT,2,62,title_exact,combination_or_formulation,37560506,"Topical Application of a Formulation Containing Pea Proteins and Xyloglucan in Adult Patients with Atopic Dermatitis: A Double-blind, Parallel, Randomized, Placebo-controlled, Multicenter Study.",evidence_tier_2,candidate_unverified,none
106,galactomyces_ferment_filtrate,갈락토미세스발효여과물,Galactomyces Ferment Filtrate,effect_moisture_barrier,보습·장벽,149,human_topical_pubmed_required,high,HUMECTANT,5,45,title_exact,mechanistic,38924095,"Integration of transcriptomics and spatial biology analyses reveals Galactomyces ferment filtrate promotes epidermal interconnectivity via induction of keratinocyte differentiation, proliferation and cellular bioenergetics.",evidence_tier_5,candidate_unverified,none
107,potassium_nitrate,포타슘나이트레이트,Potassium Nitrate,effect_calming,진정,14,direct_cosing_signal,high,SOOTHING,2,58,abstract_exact,combination_or_formulation,28250779,"A comparison of the effect of certain inorganic salts on suppression acute skin irritation by human biometric assay: A randomized, double-blind clinical trial.",evidence_tier_2,candidate_unverified,none
108,honey_extract,꿀추출물,Honey Extract,effect_moisture_barrier,보습·장벽,393,human_topical_pubmed_required,high,HUMECTANT,4,39,abstract_exact,combination_or_formulation,32481539,Hydration and Barrier Potential of Cosmetic Matrices with Bee Products.,evidence_tier_4,candidate_unverified,none
109,tripeptide_1,트라이펩타이드-1,Tripeptide-1,effect_moisture_barrier,보습·장벽,362,human_topical_pubmed_required,medium,SKIN PROTECTING,2,58,abstract_exact,combination_or_formulation,38932444,Comprehensive evaluation of the efficacy and safety of a new multi-component anti-aging topical eye cream.,evidence_tier_2,candidate_unverified,none
110,canola_oil,카놀라오일,Canola Oil,effect_moisture_barrier,보습·장벽,354,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,2,58,abstract_exact,combination_or_formulation,16918613,Anti-irritants I: Dose-response in acute irritation.,evidence_tier_2,candidate_unverified,none
111,lauryl_alcohol,라우릴알코올,Lauryl Alcohol,effect_moisture_barrier,보습·장벽,222,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,4,60,abstract_exact,human_topical,17313403,Mala s 12 is a major allergen in patients with atopic eczema and has sequence similarities to the GMC oxidoreductase family.,evidence_tier_4,candidate_unverified,none
112,sphingolipids,스핑고리피드,Sphingolipids,effect_moisture_barrier,보습·장벽,154,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT+SKIN PROTECTING,2,62,title_exact,combination_or_formulation,32197613,Topical treatment with SPHINGOLIPIDS and GLYCOSAMINOGLYCANS for canine atopic dermatitis.,evidence_tier_2,candidate_unverified,none
113,ascorbyl_tetraisopalmitate,아스코빌테트라이소팔미테이트,Ascorbyl Tetraisopalmitate,effect_moisture_barrier,보습·장벽,502,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,3,54,title_exact,combination_or_formulation,30924254,"Clinical evidence of the efficacy and safety of a new 3-in-1 anti-aging topical night serum-in-oil containing melatonin, bakuchiol, and ascorbyl tetraisopalmitate: 103 females treated from 28 to 84 days.",evidence_tier_3,candidate_unverified,none
114,acmella_oleracea_extract,올레라케아아크멜라추출물,Acmella Oleracea Extract,effect_moisture_barrier,보습·장벽,92,human_topical_pubmed_required,medium,SKIN PROTECTING,2,62,title_exact,combination_or_formulation,39617635,"Preliminary safety and in vivo efficacy of Acmella oleracea extract-loaded glycolipid emulsion serum-Effects on ocular irritation, dermal absorption, and facial skin biophysical and microrelief properties.",evidence_tier_2,candidate_unverified,none
115,calamine,칼라민,Calamine,effect_moisture_barrier,보습·장벽,119,human_topical_pubmed_required,medium,SKIN PROTECTING,4,60,abstract_exact,human_topical,29762208,Prevalence of Atopic Dermatitis and Pattern of Drug Therapy in Malaysian Children.,evidence_tier_4,candidate_unverified,none
116,subtilisin,서브틸리신,Subtilisin,effect_exfoliation,각질,45,human_topical_pubmed_required,high,KERATOLYTIC,5,45,title_exact,mechanistic,19995373,Secreted subtilisin Sub3 from Microsporum canis is required for adherence to but not for invasion of the epidermis.,evidence_tier_5,candidate_unverified,none
117,octyldodecanol,옥틸도데칸올,Octyldodecanol,effect_moisture_barrier,보습·장벽,3622,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,5,40,abstract_exact,mechanistic,40427501,Topical Delivery of Ceramide by Oil-in-Water Nanoemulsion to Retain Epidermal Moisture Content in Dermatitis.,evidence_tier_5,candidate_unverified,none
118,camellia_sinensis_leaf_extract,녹차추출물,Camellia Sinensis Leaf Extract,effect_moisture_barrier,보습·장벽,1161,human_topical_pubmed_required,high,HUMECTANT,7,25,title_exact,mechanistic,40391588,Pleiotropic effects of a Camellia sinensis leaf extract on in vitro and in vivo skin health characteristics.,evidence_tier_7,candidate_unverified,none
119,sodium_lactate,소듐락테이트,Sodium Lactate,effect_exfoliation,각질,2510,human_topical_pubmed_required,high,KERATOLYTIC,7,20,abstract_exact,mechanistic,22000639,Infrared spectroscopic analysis of human interstitial fluid in vitro and in vivo using FT-IR spectroscopy and pulsed quantum cascade lasers (QCL): Establishing a new approach to non invasive glucose measurement.,evidence_tier_7,candidate_unverified,none
119,sodium_lactate,소듐락테이트,Sodium Lactate,effect_moisture_barrier,보습·장벽,2510,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
120,coco_caprylate_caprate,코코-카프릴레이트/카프레이트,Coco-Caprylate/Caprate,effect_moisture_barrier,보습·장벽,2735,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,4,39,abstract_exact,combination_or_formulation,41235541,"Minimalist, bioinspired and sensorial emulsion based on a Ca2+ double cone vector system using Design of Experiment (DoE).",evidence_tier_4,candidate_unverified,none
121,mannitol,만니톨,Mannitol,effect_moisture_barrier,보습·장벽,935,human_topical_pubmed_required,high,HUMECTANT+MOISTURISING,6,25,abstract_exact,mechanistic,11702187,Vitamin C enhances differentiation of a continuous keratinocyte cell line (REK) into epidermis with normal stratum corneum ultrastructure and functional permeability barrier.,evidence_tier_6,candidate_unverified,none
122,erythritol,에리스리톨,Erythritol,effect_moisture_barrier,보습·장벽,679,human_topical_pubmed_required,high,HUMECTANT+MOISTURISING,6,25,abstract_exact,mechanistic,12771381,"Glycerol replacement corrects defective skin hydration, elasticity, and barrier function in aquaporin-3-deficient mice.",evidence_tier_6,candidate_unverified,none
123,soluble_collagen,수용성콜라겐,Soluble Collagen,effect_moisture_barrier,보습·장벽,530,human_topical_pubmed_required,high,HUMECTANT,6,25,abstract_exact,mechanistic,24018675,Sparassis crispa (Hanabiratake) ameliorates skin conditions in rats and humans.,evidence_tier_6,candidate_unverified,none
124,maltose,말토스,Maltose,effect_moisture_barrier,보습·장벽,176,human_topical_pubmed_required,high,MOISTURISING,6,30,title_exact,mechanistic,17597381,Characterization of solid maltose microneedles and their use for transdermal delivery.,evidence_tier_6,candidate_unverified,none
125,glyceryl_stearate_citrate,글리세릴스테아레이트시트레이트,Glyceryl Stearate Citrate,effect_moisture_barrier,보습·장벽,1035,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,4,39,abstract_exact,combination_or_formulation,41235541,"Minimalist, bioinspired and sensorial emulsion based on a Ca2+ double cone vector system using Design of Experiment (DoE).",evidence_tier_4,candidate_unverified,none
126,oleyl_alcohol,올레일알코올,Oleyl Alcohol,effect_moisture_barrier,보습·장벽,301,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,5,45,title_exact,mechanistic,37950377,Time-Dependent Differences in the Effects of Oleic Acid and Oleyl Alcohol on the Human Skin Barrier.,evidence_tier_5,candidate_unverified,none
127,acetyl_hexapeptide_8,아세틸헥사펩타이드-8,Acetyl Hexapeptide-8,effect_moisture_barrier,보습·장벽,798,human_topical_pubmed_required,high,HUMECTANT,2,19,title_exact,route_mismatch,33911590,Anti-Wrinkle Efficacy of Cross-Linked Hyaluronic Acid-Based Microneedle Patch with Acetyl Hexapeptide-8 and Epidermal Growth Factor on Korean Skin.,evidence_tier_2,candidate_unverified,none
128,cetyl_palmitate,세틸팔미테이트,Cetyl Palmitate,effect_moisture_barrier,보습·장벽,709,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,4,39,abstract_exact,combination_or_formulation,21674018,Novel formulation and evaluation of a Q10-loaded solid lipid nanoparticle cream: in vitro and in vivo studies.,evidence_tier_4,candidate_unverified,none
129,glycogen,글라이코젠,Glycogen,effect_moisture_barrier,보습·장벽,245,human_topical_pubmed_required,high,HUMECTANT,6,25,abstract_exact,mechanistic,23781028,The lysosomal signaling anchor p18/LAMTOR1 controls epidermal development by regulating lysosome-mediated catabolic processes.,evidence_tier_6,candidate_unverified,none
130,scutellaria_baicalensis_root_extract,황금추출물,Scutellaria Baicalensis Root Extract,effect_calming,진정,1143,direct_cosing_signal,high,SOOTHING,6,16,abstract_exact,combination_or_formulation,34184069,Activation of Transient Receptor Potential Vanilloid-3 Channels in Keratinocytes Induces Pruritus in Humans.,evidence_tier_6,candidate_unverified,none
130,scutellaria_baicalensis_root_extract,황금추출물,Scutellaria Baicalensis Root Extract,effect_moisture_barrier,보습·장벽,1143,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
131,aloe_barbadensis_leaf_extract,알로에베라잎추출물,Aloe Barbadensis Leaf Extract,effect_moisture_barrier,보습·장벽,1871,human_topical_pubmed_required,high,HUMECTANT,7,13,abstract_exact,combination_or_formulation,38611819,Synergetic Effects of Aloe Vera Extract with Trimethylglycine for Targeted Aquaporin 3 Regulation and Long-Term Skin Hydration.,evidence_tier_7,candidate_unverified,none
132,hydroxyethyl_urea,하이드록시에틸우레아,Hydroxyethyl Urea,effect_moisture_barrier,보습·장벽,967,human_topical_pubmed_required,high,HUMECTANT,8,15,title_exact,reference_only,41122587,"Synergistic Effects of the ThriveCo Bumps Eraser Kit: Exfoliating Scrub and Lotion in Reducing Skin Bumps and Enhancing Hydration With Spirulina, Alpha-Hydroxy Acid, Madhuca indica Oil, Allantoin, and Hydroxyethyl Urea.",evidence_tier_8,candidate_unverified,none
133,algae_extract,조류추출물,Algae Extract,effect_moisture_barrier,보습·장벽,693,human_topical_pubmed_required,high,HUMECTANT,6,16,abstract_exact,combination_or_formulation,26402714,"In vivo photoprotective effects of cosmetic formulations containing UV filters, vitamins, Ginkgo biloba and red algae extracts.",evidence_tier_6,candidate_unverified,none
134,glucosyl_hesperidin,글루코실헤스페리딘,Glucosyl Hesperidin,effect_moisture_barrier,보습·장벽,94,human_topical_pubmed_required,high,HUMECTANT,5,26,abstract_exact,combination_or_formulation,36927667,The Epidermal Environment's Influence on the Dermal Environment in Response to External Stress.,evidence_tier_5,candidate_unverified,none
135,fructooligosaccharides,프룩토올리고사카라이드,Fructooligosaccharides,effect_moisture_barrier,보습·장벽,827,human_topical_pubmed_required,high,HUMECTANT,7,13,abstract_exact,combination_or_formulation,40952030,Efficacy of Encorelane in Enhancing Barrier Function and Reducing Aging Signs in Sensitive Skin.,evidence_tier_7,candidate_unverified,none
136,aluminum_hydroxide,알루미늄하이드록사이드,Aluminum Hydroxide,effect_moisture_barrier,보습·장벽,7465,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
137,peg_20,피이지-20,PEG-20,effect_moisture_barrier,보습·장벽,69,human_topical_pubmed_required,high,HUMECTANT,5,26,abstract_exact,combination_or_formulation,36122613,"Topically applied lipid-containing emulsions based on PEGylated emulsifiers: Formulation, characterization, and evaluation of their impact on skin properties ex vivo and in vivo.",evidence_tier_5,candidate_unverified,none
138,xylose,자일로오스,Xylose,effect_moisture_barrier,보습·장벽,189,human_topical_pubmed_required,high,HUMECTANT,7,20,abstract_exact,mechanistic,41599327,Structural Elucidation and Moisturizing Potential of a Polysaccharide Derived from Tremella mesenterica.,evidence_tier_7,candidate_unverified,none
139,ribose,리보오스,Ribose,effect_moisture_barrier,보습·장벽,61,human_topical_pubmed_required,high,HUMECTANT,6,25,abstract_exact,mechanistic,42107012,Liver-originated selective autophagy of BTD by alectinib underlies concurrent hepatotoxicity and dermatotoxicity.,evidence_tier_6,candidate_unverified,none
140,vegetable_oil,식물성오일,Vegetable Oil,effect_moisture_barrier,보습·장벽,106,human_topical_pubmed_required,medium,SKIN CONDITIONING - OCCLUSIVE,4,39,abstract_exact,combination_or_formulation,33546378,The Quality of Emulsions with New Synthetized Lipids Stabilized by Xanthan Gum.,evidence_tier_4,candidate_unverified,none
141,bromelain,브로멜라인,Bromelain,effect_exfoliation,각질,203,human_topical_pubmed_required,high,KERATOLYTIC,8,15,title_exact,reference_only,28065968,Therapeutic uses of pineapple-extracted bromelain in surgical care - A review.,evidence_tier_8,candidate_unverified,none
142,leuconostoc_radish_root_ferment_filtrate,류코노스톡/무발효여과물,Leuconostoc/Radish Root Ferment Filtrate,effect_acne_sebum,여드름·피지,2611,human_topical_pubmed_required,high,ANTI-SEBORRHEIC,,0,,,,,cosing_only,candidate_unverified,none
143,hydrolyzed_hyaluronic_acid,하이드롤라이즈드하이알루로닉애씨드,Hydrolyzed Hyaluronic Acid,effect_moisture_barrier,보습·장벽,2185,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
144,glabridin,글라브리딘,Glabridin,effect_brightening,미백·톤,10,direct_cosing_signal,high,BLEACHING,6,30,title_exact,mechanistic,27348968,"Glabridin nanosuspension for enhanced skin penetration: formulation optimization, in vitro and in vivo evaluation.",evidence_tier_6,candidate_unverified,none
145,dimethiconol,다이메티콘올,Dimethiconol,effect_moisture_barrier,보습·장벽,1907,human_topical_pubmed_required,high,MOISTURISING,,0,,,,,cosing_only,candidate_unverified,none
146,climbazole,클림바졸,Climbazole,effect_acne_sebum,여드름·피지,96,human_topical_pubmed_required,high,ANTI-SEBORRHEIC,7,16,title_exact,combination_or_formulation,24811958,Climbazole increases expression of cornified envelope proteins in primary keratinocytes.,evidence_tier_7,candidate_unverified,none
147,tridecane,트라이데케인,Tridecane,effect_moisture_barrier,보습·장벽,645,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,6,25,abstract_exact,mechanistic,11295251,Percutaneous absorption and skin irritation of JP-8 (jet fuel).,evidence_tier_6,candidate_unverified,none
148,glucuronic_acid,글루쿠로닉애씨드,Glucuronic Acid,effect_moisture_barrier,보습·장벽,42,human_topical_pubmed_required,high,HUMECTANT,7,20,abstract_exact,mechanistic,16977445,"The effects of Musk T on peroxisome proliferator-activated receptor [PPAR]-alpha activation, epidermal skin homeostasis and dermal hyaluronic acid synthesis.",evidence_tier_7,candidate_unverified,none
149,sodium_hyaluronate_crosspolymer,소듐하이알루로네이트크로스폴리머,Sodium Hyaluronate Crosspolymer,effect_moisture_barrier,보습·장벽,1437,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
150,sodium_acetylated_hyaluronate,소듐아세틸레이티드하이알루로네이트,Sodium Acetylated Hyaluronate,effect_moisture_barrier,보습·장벽,1371,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
151,peg_40,피이지-40,PEG-40,effect_moisture_barrier,보습·장벽,12,human_topical_pubmed_required,high,HUMECTANT,5,26,abstract_exact,combination_or_formulation,36122613,"Topically applied lipid-containing emulsions based on PEGylated emulsifiers: Formulation, characterization, and evaluation of their impact on skin properties ex vivo and in vivo.",evidence_tier_5,candidate_unverified,none
152,hydrolyzed_soy_protein,하이드롤라이즈드콩단백질,Hydrolyzed Soy Protein,effect_moisture_barrier,보습·장벽,1204,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
153,glycereth_26,글리세레스-26,Glycereth-26,effect_moisture_barrier,보습·장벽,1140,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
154,fructose,프룩토오스,Fructose,effect_moisture_barrier,보습·장벽,769,human_topical_pubmed_required,high,HUMECTANT,8,2,abstract_exact,route_mismatch,33510169,Transdermal electroosmotic flow generated by a porous microneedle array patch.,evidence_tier_8,candidate_unverified,none
155,pca,피씨에이,PCA,effect_moisture_barrier,보습·장벽,1071,human_topical_pubmed_required,high,HUMECTANT+MOISTURISING,,0,,,,,cosing_only,candidate_unverified,none
156,polyglycerin_3,폴리글리세린-3,Polyglycerin-3,effect_moisture_barrier,보습·장벽,1061,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
157,anhydroxylitol,안하이드로자일리톨,Anhydroxylitol,effect_moisture_barrier,보습·장벽,1027,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
158,xylitylglucoside,자일리틸글루코사이드,Xylitylglucoside,effect_moisture_barrier,보습·장벽,1008,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
159,hydrolyzed_keratin,하이드롤라이즈드케라틴,Hydrolyzed Keratin,effect_moisture_barrier,보습·장벽,1003,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
160,magnesium_stearate,마그네슘스테아레이트,Magnesium Stearate,effect_moisture_barrier,보습·장벽,956,human_topical_pubmed_required,high,MOISTURISING,,0,,,,,cosing_only,candidate_unverified,none
161,glyceryl_acrylate_acrylic_acid_copolymer,글리세릴아크릴레이트/아크릴릭애씨드코폴리머,Glyceryl Acrylate/Acrylic Acid Copolymer,effect_moisture_barrier,보습·장벽,886,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
162,isododecane,아이소도데케인,Isododecane,effect_moisture_barrier,보습·장벽,5008,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,8,10,abstract_exact,reference_only,36121393,Factors to control the alignment of surface-treated titanium dioxide powders to maximize performance of sunscreens.,evidence_tier_8,candidate_unverified,none
163,salix_alba_willow_bark_extract,흰버드나무껍질추출물,Salix Alba (Willow) Bark Extract,effect_calming,진정,821,direct_cosing_signal,high,SOOTHING,,0,,,,,cosing_only,candidate_unverified,none
164,hydrolyzed_glycosaminoglycans,하이드롤라이즈드글라이코사미노글리칸,Hydrolyzed Glycosaminoglycans,effect_moisture_barrier,보습·장벽,736,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
165,ethyl_oleate,에틸올리에이트,Ethyl Oleate,effect_moisture_barrier,보습·장벽,287,human_topical_pubmed_required,medium,SKIN CONDITIONING - EMOLLIENT,6,25,abstract_exact,mechanistic,39727555,Preparation of Patchouli Oil Microemulsion Gel and Its Topical Application to Ameliorate Atopic Dermatitis in Mice.,evidence_tier_6,candidate_unverified,none
166,peg_8,피이지-8,PEG-8,effect_moisture_barrier,보습·장벽,665,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
167,methyl_gluceth_20,메틸글루세스-20,Methyl Gluceth-20,effect_moisture_barrier,보습·장벽,664,human_topical_pubmed_required,high,HUMECTANT+MOISTURISING,,0,,,,,cosing_only,candidate_unverified,none
168,ficus_carica_fig_fruit_extract,무화과추출물,Ficus Carica (Fig) Fruit Extract,effect_moisture_barrier,보습·장벽,662,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
169,hydrolyzed_silk,하이드롤라이즈드실크,Hydrolyzed Silk,effect_moisture_barrier,보습·장벽,660,human_topical_pubmed_required,high,HUMECTANT,,0,,,,,cosing_only,candidate_unverified,none
